"region"|"word"|"score"
"Hawaii"|"plum"|"10.48"
"Caribbean"|"simple"|"10.36"
"Asia_Indonesia"|"scorched"|"10.15"
"Caribbean"|"continued"|"10.13"
"Hawaii"|"graceful"|"10.05"
"Caribbean"|"soft"|"10.02"
"Caribbean"|"pleasing"|"9.92"
"Africa"|"currant"|"9.92"
"Asia_Indonesia"|"heavy"|"9.89"
"Hawaii"|"classic"|"9.76"
"Asia_Indonesia"|"read"|"9.66"
"Asia_Indonesia"|"ferment"|"9.6"
"Hawaii"|"sweetness"|"9.58"
"Hawaii"|"high"|"9.52"
"Hawaii"|"unusual"|"9.52"
"Caribbean"|"raisin"|"9.47"
"Africa"|"blueberry"|"9.46"
"Hawaii"|"acid"|"9.4"
"Asia_Indonesia"|"robust"|"9.38"
"Caribbean"|"black"|"9.3"
"Hawaii"|"blossom"|"9.28"
"Hawaii"|"retain"|"9.24"
"Hawaii"|"intensity"|"9.24"
"Caribbean"|"astringent"|"9.22"
"Asia_Indonesia"|"body"|"9.09"
"Asia_Indonesia"|"tone"|"9.07"
"Hawaii"|"tomato"|"9.06"
"Caribbean"|"coffee"|"9.05"
"Hawaii"|"clean"|"9.01"
"Asia_Indonesia"|"pungent"|"8.92"
"Caribbean"|"orange"|"8.9"
"Caribbean"|"dominate"|"8.9"
"Hawaii"|"velvety"|"8.88"
"Hawaii"|"enveloped"|"8.88"
"Hawaii"|"depth"|"8.86"
"Caribbean"|"apricot"|"8.8"
"Asia_Indonesia"|"humus"|"8.71"
"Asia_Indonesia"|"background"|"8.66"
"Asia_Indonesia"|"faint"|"8.64"
"South_America"|"caramel"|"8.62"
"Asia_Indonesia"|"astringency"|"8.58"
"Africa"|"saturate"|"8.56"
"Caribbean"|"suggest"|"8.54"
"Asia_Indonesia"|"tobacco"|"8.48"
"Asia_Indonesia"|"aromatic"|"8.48"
"Hawaii"|"silk"|"8.41"
"Caribbean"|"slight"|"8.32"
"Africa"|"berry"|"8.3"
"Asia_Indonesia"|"remark"|"8.26"
"Caribbean"|"butter"|"8.23"
"Hawaii"|"vanilla"|"8.21"
"Africa"|"complex"|"8.18"
"Hawaii"|"bit"|"8.18"
"Asia_Indonesia"|"rough"|"8.11"
"Hawaii"|"profile"|"8.09"
"Hawaii"|"sugar"|"8.0"
"Africa"|"honey"|"7.99"
"Hawaii"|"dusk"|"7.96"
"Asia_Indonesia"|"fresh"|"7.93"
"Africa"|"floral"|"7.88"
"South_America"|"steam"|"7.87"
"Asia_Indonesia"|"malt"|"7.85"
"South_America"|"cocoa"|"7.83"
"Africa"|"intense"|"7.82"
"Africa"|"bright"|"7.8"
"Hawaii"|"continuing"|"7.8"
"Asia_Indonesia"|"stays"|"7.79"
"Asia_Indonesia"|"dark"|"7.79"
"Africa"|"dry"|"7.75"
"Africa"|"lemon"|"7.75"
"South_America"|"ken"|"7.72"
"Hawaii"|"consolidate"|"7.69"
"Hawaii"|"nuance"|"7.65"
"Asia_Indonesia"|"papaya"|"7.65"
"South_America"|"gentle"|"7.62"
"South_America"|"quiet"|"7.58"
"Africa"|"rose"|"7.58"
"Africa"|"blackberry"|"7.54"
"Asia_Indonesia"|"compost"|"7.52"
"Hawaii"|"lilac"|"7.51"
"Hawaii"|"original"|"7.49"
"South_America"|"milk"|"7.46"
"South_America"|"honeydew"|"7.46"
"Asia_Indonesia"|"leanish"|"7.43"
"Asia_Indonesia"|"sassafras"|"7.43"
"Asia_Indonesia"|"traditional"|"7.43"
"Africa"|"juicy"|"7.4"
"Africa"|"lively"|"7.39"
"Africa"|"brandy"|"7.38"
"Hawaii"|"saturated"|"7.38"
"Asia_Indonesia"|"coconut"|"7.37"
"Caribbean"|"linger"|"7.35"
"Asia_Indonesia"|"tropical"|"7.34"
"South_America"|"hazelnut"|"7.33"
"South_America"|"quickly"|"7.33"
"Asia_Indonesia"|"turn"|"7.33"
"South_America"|"balanced"|"7.32"
"Asia_Indonesia"|"molasses"|"7.31"
"South_America"|"produced"|"7.3"
"South_America"|"brightening"|"7.3"
"Caribbean"|"carries"|"7.27"
"Hawaii"|"chocolaty"|"7.27"
"Africa"|"lush"|"7.26"
"Africa"|"nib"|"7.25"
"South_America"|"walnut"|"7.24"
"Africa"|"tart"|"7.19"
"Africa"|"lavender"|"7.12"
"Hawaii"|"gently"|"7.1"
"Hawaii"|"simplify"|"7.06"
"Asia_Indonesia"|"deducted"|"7.03"
"Asia_Indonesia"|"unorthodox"|"7.03"
"Asia_Indonesia"|"clay"|"7.03"
"Asia_Indonesia"|"peppercorn"|"7.03"
"Asia_Indonesia"|"star"|"7.03"
"Africa"|"cacao"|"7.02"
"Asia_Indonesia"|"point"|"7.0"
"Africa"|"like"|"6.99"
"Asia_Indonesia"|"pipe"|"6.95"
"Africa"|"reynolds"|"6.9"
"Africa"|"jim"|"6.9"
"Hawaii"|"bloom"|"6.9"
"CentralAmerica_Mexico"|"roast"|"6.9"
"Caribbean"|"bittersweet"|"6.88"
"Asia_Indonesia"|"salt"|"6.87"
"Hawaii"|"green"|"6.86"
"South_America"|"cupper"|"6.83"
"Africa"|"underlying"|"6.82"
"South_America"|"cherry"|"6.8"
"Hawaii"|"ripe"|"6.8"
"Asia_Indonesia"|"vibrant"|"6.78"
"South_America"|"structure"|"6.77"
"Africa"|"berries"|"6.77"
"South_America"|"flat"|"6.72"
"South_America"|"licorice"|"6.72"
"South_America"|"taster"|"6.69"
"Africa"|"jasmine"|"6.69"
"Hawaii"|"prune"|"6.68"
"CentralAmerica_Mexico"|"deepen"|"6.67"
"Asia_Indonesia"|"explicit"|"6.67"
"Africa"|"carry"|"6.65"
"Africa"|"citrus"|"6.64"
"Africa"|"exhilarating"|"6.63"
"South_America"|"bodied"|"6.61"
"Asia_Indonesia"|"carnal"|"6.61"
"Asia_Indonesia"|"complicated"|"6.61"
"Asia_Indonesia"|"grain"|"6.61"
"Asia_Indonesia"|"overripe"|"6.61"
"Caribbean"|"fir"|"6.57"
"Africa"|"buoyant"|"6.57"
"Asia_Indonesia"|"fundamental"|"6.53"
"Asia_Indonesia"|"richer"|"6.53"
"Asia_Indonesia"|"pruny"|"6.53"
"Asia_Indonesia"|"carob"|"6.52"
"Hawaii"|"aromatically"|"6.51"
"Hawaii"|"lyric"|"6.51"
"Asia_Indonesia"|"short"|"6.5"
"CentralAmerica_Mexico"|"layer"|"6.49"
"Africa"|"bergamot"|"6.48"
"Asia_Indonesia"|"fade"|"6.48"
"South_America"|"low"|"6.45"
"South_America"|"almond"|"6.42"
"South_America"|"support"|"6.42"
"CentralAmerica_Mexico"|"intricate"|"6.4"
"Asia_Indonesia"|"general"|"6.38"
"Hawaii"|"night"|"6.37"
"CentralAmerica_Mexico"|"smooth"|"6.37"
"South_America"|"suave"|"6.36"
"South_America"|"sourish"|"6.36"
"South_America"|"amplify"|"6.36"
"South_America"|"burned"|"6.36"
"South_America"|"cane"|"6.36"
"Africa"|"particular"|"6.36"
"Hawaii"|"baking"|"6.34"
"Hawaii"|"oak"|"6.34"
"South_America"|"weight"|"6.33"
"Africa"|"resonant"|"6.32"
"Hawaii"|"cut"|"6.28"
"Asia_Indonesia"|"medium"|"6.28"
"South_America"|"small"|"6.22"
"Hawaii"|"straightforward"|"6.19"
"CentralAmerica_Mexico"|"great"|"6.17"
"Hawaii"|"fine"|"6.16"
"CentralAmerica_Mexico"|"balance"|"6.12"
"South_America"|"knit"|"6.11"
"Asia_Indonesia"|"pleasant"|"6.1"
"South_America"|"nuanced"|"6.09"
"South_America"|"cocoaish"|"6.07"
"Africa"|"brisk"|"6.06"
"Asia_Indonesia"|"earthiness"|"6.06"
"Asia_Indonesia"|"probably"|"6.06"
"Africa"|"tangerine"|"6.05"
"Africa"|"red"|"6.05"
"Africa"|"strawberry"|"6.04"
"Hawaii"|"melon"|"6.04"
"Asia_Indonesia"|"spicy"|"6.04"
"Asia_Indonesia"|"mango"|"6.02"
"South_America"|"exquisite"|"5.97"
"South_America"|"showed"|"5.97"
"CentralAmerica_Mexico"|"nice"|"5.95"
"Africa"|"edge"|"5.91"
"CentralAmerica_Mexico"|"shimmer"|"5.91"
"Hawaii"|"persistence"|"5.9"
"South_America"|"presence"|"5.89"
"Caribbean"|"persist"|"5.87"
"Asia_Indonesia"|"cider"|"5.86"
"Asia_Indonesia"|"herb"|"5.84"
"CentralAmerica_Mexico"|"pecan"|"5.83"
"CentralAmerica_Mexico"|"espresso"|"5.82"
"Africa"|"kenya"|"5.78"
"Hawaii"|"develop"|"5.77"
"Africa"|"process"|"5.76"
"CentralAmerica_Mexico"|"sweeten"|"5.76"
"Africa"|"meza"|"5.75"
"Africa"|"miguel"|"5.75"
"Hawaii"|"dried"|"5.75"
"CentralAmerica_Mexico"|"evaluated"|"5.73"
"CentralAmerica_Mexico"|"spice"|"5.73"
"Africa"|"s"|"5.69"
"Africa"|"savory"|"5.69"
"South_America"|"superb"|"5.67"
"Hawaii"|"mint"|"5.67"
"Asia_Indonesia"|"fat"|"5.64"
"Asia_Indonesia"|"rosemary"|"5.64"
"Asia_Indonesia"|"mushroom"|"5.64"
"South_America"|"crispness"|"5.63"
"South_America"|"tamarind"|"5.63"
"South_America"|"tendencies"|"5.63"
"Africa"|"honeysuckle"|"5.63"
"CentralAmerica_Mexico"|"orangy"|"5.63"
"Asia_Indonesia"|"natural"|"5.6"
"South_America"|"pronounced"|"5.59"
"South_America"|"peach"|"5.59"
"CentralAmerica_Mexico"|"profound"|"5.59"
"CentralAmerica_Mexico"|"wendy"|"5.59"
"CentralAmerica_Mexico"|"associated"|"5.59"
"CentralAmerica_Mexico"|"jong"|"5.59"
"Africa"|"sandalwood"|"5.53"
"South_America"|"maintain"|"5.52"
"South_America"|"way"|"5.52"
"Africa"|"lavish"|"5.52"
"Asia_Indonesia"|"just"|"5.5"
"South_America"|"cherryish"|"5.49"
"South_America"|"disappointing"|"5.48"
"Africa"|"sage"|"5.48"
"South_America"|"zest"|"5.46"
"Africa"|"wine"|"5.46"
"Africa"|"distinctive"|"5.44"
"Africa"|"agave"|"5.43"
"Asia_Indonesia"|"deeper"|"5.43"
"Africa"|"sustain"|"5.42"
"Asia_Indonesia"|"cream"|"5.42"
"Hawaii"|"musk"|"5.41"
"Hawaii"|"blood"|"5.41"
"Hawaii"|"pear"|"5.41"
"South_America"|"tight"|"5.36"
"South_America"|"kohmescher"|"5.33"
"South_America"|"sean"|"5.33"
"South_America"|"authority"|"5.33"
"Africa"|"grape"|"5.29"
"Asia_Indonesia"|"charred"|"5.28"
"Asia_Indonesia"|"sample"|"5.28"
"Asia_Indonesia"|"extraordinarily"|"5.28"
"Asia_Indonesia"|"expression"|"5.28"
"CentralAmerica_Mexico"|"complicate"|"5.25"
"CentralAmerica_Mexico"|"lovely"|"5.25"
"Africa"|"finishes"|"5.24"
"Asia_Indonesia"|"exotic"|"5.24"
"CentralAmerica_Mexico"|"parts"|"5.22"
"CentralAmerica_Mexico"|"white"|"5.21"
"Asia_Indonesia"|"complication"|"5.21"
"CentralAmerica_Mexico"|"andy"|"5.2"
"CentralAmerica_Mexico"|"newbom"|"5.2"
"CentralAmerica_Mexico"|"nectarine"|"5.18"
"South_America"|"complexity"|"5.16"
"South_America"|"nutty"|"5.15"
"Africa"|"guava"|"5.12"
"Africa"|"vivacious"|"5.12"
"Africa"|"narcissus"|"5.12"
"South_America"|"straight"|"5.1"
"South_America"|"restrained"|"5.1"
"Hawaii"|"simplifies"|"5.1"
"South_America"|"tea"|"5.07"
"Asia_Indonesia"|"brandyish"|"5.07"
"South_America"|"descriptor"|"5.06"
"South_America"|"little"|"5.06"
"CentralAmerica_Mexico"|"soften"|"5.06"
"Asia_Indonesia"|"stone"|"5.0"
"CentralAmerica_Mexico"|"thyme"|"4.98"
"Africa"|"baker"|"4.96"
"Asia_Indonesia"|"splendid"|"4.95"
"Asia_Indonesia"|"references"|"4.95"
"Asia_Indonesia"|"vine"|"4.95"
"Asia_Indonesia"|"grace"|"4.95"
"Asia_Indonesia"|"undercurrent"|"4.95"
"Asia_Indonesia"|"tend"|"4.95"
"Asia_Indonesia"|"bananaish"|"4.95"
"Asia_Indonesia"|"vaguely"|"4.95"
"Asia_Indonesia"|"bread"|"4.95"
"Asia_Indonesia"|"animate"|"4.95"
"Asia_Indonesia"|"run"|"4.95"
"CentralAmerica_Mexico"|"whisky"|"4.94"
"Africa"|"prevail"|"4.93"
"CentralAmerica_Mexico"|"surprising"|"4.93"
"Asia_Indonesia"|"striking"|"4.89"
"CentralAmerica_Mexico"|"candied"|"4.88"
"Africa"|"honeyish"|"4.84"
"South_America"|"combining"|"4.83"
"Hawaii"|"opulent"|"4.83"
"South_America"|"sensation"|"4.81"
"Africa"|"giddily"|"4.81"
"Africa"|"lime"|"4.8"
"South_America"|"size"|"4.77"
"South_America"|"cantaloupe"|"4.77"
"South_America"|"poised"|"4.77"
"South_America"|"lead"|"4.77"
"South_America"|"distract"|"4.77"
"Asia_Indonesia"|"shifting"|"4.75"
"CentralAmerica_Mexico"|"fullish"|"4.73"
"CentralAmerica_Mexico"|"rye"|"4.73"
"South_America"|"leather"|"4.72"
"Asia_Indonesia"|"cinnamon"|"4.71"
"Asia_Indonesia"|"inflected"|"4.69"
"Asia_Indonesia"|"enriched"|"4.69"
"Asia_Indonesia"|"intrigue"|"4.69"
"Asia_Indonesia"|"rustic"|"4.69"
"Asia_Indonesia"|"pink"|"4.69"
"Asia_Indonesia"|"forest"|"4.69"
"Asia_Indonesia"|"convincingly"|"4.69"
"Asia_Indonesia"|"halo"|"4.69"
"Asia_Indonesia"|"owing"|"4.69"
"Asia_Indonesia"|"nutmeg"|"4.69"
"Asia_Indonesia"|"gives"|"4.69"
"Asia_Indonesia"|"acquire"|"4.69"
"Asia_Indonesia"|"kind"|"4.69"
"Asia_Indonesia"|"dullish"|"4.69"
"Asia_Indonesia"|"flatness"|"4.69"
"Asia_Indonesia"|"unfortunately"|"4.69"
"Asia_Indonesia"|"characteristic"|"4.69"
"Asia_Indonesia"|"brazil"|"4.69"
"Asia_Indonesia"|"holds"|"4.69"
"Asia_Indonesia"|"smoke"|"4.69"
"Asia_Indonesia"|"i"|"4.69"
"Asia_Indonesia"|"edgy"|"4.69"
"Asia_Indonesia"|"combine"|"4.69"
"Asia_Indonesia"|"decaffeination"|"4.69"
"Asia_Indonesia"|"moderate"|"4.69"
"Asia_Indonesia"|"odor"|"4.69"
"Asia_Indonesia"|"nuttiness"|"4.67"
"Asia_Indonesia"|"edged"|"4.67"
"CentralAmerica_Mexico"|"brown"|"4.66"
"CentralAmerica_Mexico"|"enveloping"|"4.66"
"CentralAmerica_Mexico"|"grapy"|"4.66"
"CentralAmerica_Mexico"|"clarity"|"4.66"
"CentralAmerica_Mexico"|"anchored"|"4.66"
"Africa"|"admired"|"4.65"
"Africa"|"raspberry"|"4.65"
"Africa"|"agreed"|"4.63"
"Africa"|"blackcurrant"|"4.63"
"Africa"|"grand"|"4.63"
"Africa"|"mulberry"|"4.63"
"CentralAmerica_Mexico"|"dampening"|"4.62"
"CentralAmerica_Mexico"|"make"|"4.62"
"Africa"|"ring"|"4.61"
"CentralAmerica_Mexico"|"pineapple"|"4.56"
"CentralAmerica_Mexico"|"express"|"4.55"
"Asia_Indonesia"|"integrated"|"4.51"
"Asia_Indonesia"|"subtly"|"4.51"
"South_America"|"struck"|"4.48"
"South_America"|"going"|"4.48"
"South_America"|"envelops"|"4.48"
"South_America"|"word"|"4.48"
"South_America"|"tendency"|"4.48"
"South_America"|"reaches"|"4.48"
"South_America"|"stonefruit"|"4.48"
"South_America"|"pervasive"|"4.48"
"South_America"|"pod"|"4.48"
"South_America"|"surface"|"4.48"
"South_America"|"completeness"|"4.48"
"South_America"|"power"|"4.48"
"South_America"|"brightens"|"4.48"
"Africa"|"concentrated"|"4.48"
"Africa"|"resonate"|"4.48"
"Africa"|"cranberry"|"4.48"
"Africa"|"ethiopia"|"4.47"
"Africa"|"felt"|"4.47"
"CentralAmerica_Mexico"|"complete"|"4.46"
"CentralAmerica_Mexico"|"fudgy"|"4.45"
"CentralAmerica_Mexico"|"bourbon"|"4.45"
"CentralAmerica_Mexico"|"fading"|"4.44"
"South_America"|"balancing"|"4.42"
"Asia_Indonesia"|"style"|"4.42"
"Asia_Indonesia"|"ranging"|"4.42"
"CentralAmerica_Mexico"|"understated"|"4.38"
"CentralAmerica_Mexico"|"lightish"|"4.38"
"Asia_Indonesia"|"impression"|"4.36"
"Asia_Indonesia"|"reminiscent"|"4.36"
"Asia_Indonesia"|"conventional"|"4.36"
"Asia_Indonesia"|"positive"|"4.36"
"Asia_Indonesia"|"survive"|"4.36"
"Asia_Indonesia"|"related"|"4.36"
"Asia_Indonesia"|"cumin"|"4.36"
"Asia_Indonesia"|"intact"|"4.36"
"Asia_Indonesia"|"candyish"|"4.36"
"Asia_Indonesia"|"functional"|"4.36"
"CentralAmerica_Mexico"|"extravagant"|"4.35"
"Africa"|"concord"|"4.33"
"Africa"|"kumquat"|"4.33"
"Africa"|"marmalade"|"4.33"
"CentralAmerica_Mexico"|"bitter"|"4.27"
"South_America"|"ingratiating"|"4.24"
"South_America"|"cloyingly"|"4.24"
"South_America"|"fully"|"4.24"
"South_America"|"attracted"|"4.24"
"South_America"|"issue"|"4.24"
"South_America"|"colombia"|"4.24"
"South_America"|"shallow"|"4.24"
"South_America"|"play"|"4.24"
"South_America"|"stronger"|"4.24"
"South_America"|"ground"|"4.24"
"South_America"|"realcup"|"4.24"
"South_America"|"solid"|"4.24"
"South_America"|"brewer"|"4.24"
"South_America"|"tightness"|"4.24"
"South_America"|"refined"|"4.24"
"CentralAmerica_Mexico"|"structured"|"4.24"
"South_America"|"heather"|"4.22"
"South_America"|"tartness"|"4.22"
"South_America"|"relatively"|"4.22"
"South_America"|"clove"|"4.22"
"South_America"|"lasts"|"4.22"
"South_America"|"perry"|"4.22"
"Asia_Indonesia"|"table"|"4.2"
"Asia_Indonesia"|"head"|"4.2"
"Africa"|"effervescent"|"4.19"
"Africa"|"think"|"4.19"
"Asia_Indonesia"|"bitterish"|"4.19"
"Africa"|"menthol"|"4.15"
"Africa"|"brandied"|"4.15"
"Africa"|"juniper"|"4.15"
"CentralAmerica_Mexico"|"pine"|"4.15"
"CentralAmerica_Mexico"|"displays"|"4.13"
"South_America"|"assertive"|"4.08"
"Africa"|"kiwi"|"4.07"
"CentralAmerica_Mexico"|"fragrant"|"4.05"
"Asia_Indonesia"|"complicating"|"4.05"
"Asia_Indonesia"|"stiffen"|"4.04"
"Asia_Indonesia"|"impact"|"4.04"
"Asia_Indonesia"|"herbal"|"4.04"
"Asia_Indonesia"|"simply"|"4.04"
"Asia_Indonesia"|"called"|"4.04"
"Africa"|"penetrating"|"4.03"
"CentralAmerica_Mexico"|"far"|"4.03"
"South_America"|"date"|"4.0"
"South_America"|"grow"|"4.0"
"South_America"|"shot"|"4.0"
"South_America"|"dense"|"4.0"
"South_America"|"compatible"|"4.0"
"Asia_Indonesia"|"sweeter"|"4.0"
"CentralAmerica_Mexico"|"dominant"|"3.99"
"South_America"|"broaden"|"3.94"
"South_America"|"softer"|"3.94"
"South_America"|"unpleasant"|"3.94"
"South_America"|"running"|"3.94"
"CentralAmerica_Mexico"|"huge"|"3.94"
"CentralAmerica_Mexico"|"mouth"|"3.94"
"CentralAmerica_Mexico"|"hibiscus"|"3.94"
"CentralAmerica_Mexico"|"beautifully"|"3.94"
"CentralAmerica_Mexico"|"match"|"3.94"
"Africa"|"range"|"3.93"
"CentralAmerica_Mexico"|"did"|"3.91"
"CentralAmerica_Mexico"|"clear"|"3.91"
"CentralAmerica_Mexico"|"brightness"|"3.91"
"CentralAmerica_Mexico"|"essential"|"3.91"
"CentralAmerica_Mexico"|"influenced"|"3.88"
"CentralAmerica_Mexico"|"touch"|"3.88"
"Africa"|"despite"|"3.86"
"Africa"|"tangy"|"3.84"
"Africa"|"nose"|"3.84"
"Asia_Indonesia"|"limited"|"3.83"
"South_America"|"complement"|"3.8"
"South_America"|"pepper"|"3.8"
"South_America"|"forward"|"3.79"
"CentralAmerica_Mexico"|"anise"|"3.76"
"Asia_Indonesia"|"excellent"|"3.76"
"CentralAmerica_Mexico"|"bean"|"3.73"
"CentralAmerica_Mexico"|"consistent"|"3.73"
"CentralAmerica_Mexico"|"texture"|"3.73"
"CentralAmerica_Mexico"|"exotically"|"3.73"
"CentralAmerica_Mexico"|"emerged"|"3.73"
"CentralAmerica_Mexico"|"infused"|"3.73"
"CentralAmerica_Mexico"|"peaches"|"3.73"
"CentralAmerica_Mexico"|"reemerging"|"3.73"
"CentralAmerica_Mexico"|"raw"|"3.73"
"CentralAmerica_Mexico"|"rum"|"3.73"
"CentralAmerica_Mexico"|"impressed"|"3.73"
"CentralAmerica_Mexico"|"excitement"|"3.73"
"Africa"|"engaging"|"3.67"
"Asia_Indonesia"|"prominent"|"3.66"
"South_America"|"prairie"|"3.65"
"South_America"|"vivid"|"3.65"
"South_America"|"overall"|"3.65"
"South_America"|"mute"|"3.65"
"South_America"|"resolve"|"3.65"
"South_America"|"noted"|"3.65"
"South_America"|"alive"|"3.65"
"South_America"|"mid"|"3.65"
"South_America"|"finding"|"3.65"
"South_America"|"exceptional"|"3.65"
"South_America"|"key"|"3.65"
"South_America"|"qualities"|"3.65"
"South_America"|"inclined"|"3.65"
"South_America"|"bracing"|"3.62"
"Africa"|"fig"|"3.61"
"Africa"|"finds"|"3.61"
"Africa"|"berryish"|"3.61"
"CentralAmerica_Mexico"|"meadow"|"3.58"
"CentralAmerica_Mexico"|"textured"|"3.54"
"CentralAmerica_Mexico"|"perfect"|"3.54"
"Asia_Indonesia"|"persistent"|"3.52"
"Africa"|"version"|"3.51"
"CentralAmerica_Mexico"|"port"|"3.5"
"CentralAmerica_Mexico"|"association"|"3.5"
"CentralAmerica_Mexico"|"displaying"|"3.5"
"CentralAmerica_Mexico"|"mandarin"|"3.5"
"CentralAmerica_Mexico"|"laced"|"3.5"
"CentralAmerica_Mexico"|"description"|"3.46"
"CentralAmerica_Mexico"|"temperate"|"3.46"
"CentralAmerica_Mexico"|"lighter"|"3.46"
"CentralAmerica_Mexico"|"plus"|"3.46"
"CentralAmerica_Mexico"|"similar"|"3.46"
"South_America"|"flawless"|"3.4"
"South_America"|"riesling"|"3.4"
"South_America"|"taking"|"3.4"
"South_America"|"eucalyptus"|"3.4"
"South_America"|"wet"|"3.4"
"South_America"|"pie"|"3.4"
"South_America"|"authoritative"|"3.4"
"Africa"|"somewhat"|"3.39"
"Africa"|"violet"|"3.37"
"Africa"|"nectar"|"3.32"
"Africa"|"liked"|"3.32"
"Africa"|"considerable"|"3.32"
"South_America"|"influence"|"3.31"
"Asia_Indonesia"|"hot"|"3.3"
"Asia_Indonesia"|"cardamom"|"3.3"
"Africa"|"passion"|"3.29"
"CentralAmerica_Mexico"|"substantial"|"3.21"
"CentralAmerica_Mexico"|"lychee"|"3.21"
"CentralAmerica_Mexico"|"delicacy"|"3.21"
"CentralAmerica_Mexico"|"lift"|"3.21"
"CentralAmerica_Mexico"|"additional"|"3.21"
"CentralAmerica_Mexico"|"cashew"|"3.21"
"South_America"|"satiny"|"3.18"
"South_America"|"best"|"3.18"
"South_America"|"explosive"|"3.18"
"South_America"|"higher"|"3.18"
"CentralAmerica_Mexico"|"quality"|"3.13"
"Asia_Indonesia"|"settle"|"3.12"
"Asia_Indonesia"|"persuasively"|"3.12"
"Africa"|"remarkably"|"3.09"
"Africa"|"simultaneously"|"3.09"
"Africa"|"rounder"|"3.09"
"Africa"|"lasting"|"3.09"
"Africa"|"supple"|"3.09"
"Africa"|"luxurious"|"3.09"
"Africa"|"remarkable"|"3.05"
"Africa"|"praise"|"3.05"
"Africa"|"flaw"|"3.05"
"Africa"|"tested"|"3.05"
"Africa"|"admiring"|"3.05"
"Africa"|"revive"|"3.05"
"Africa"|"precious"|"3.05"
"Africa"|"dramatic"|"3.05"
"Africa"|"ice"|"3.05"
"Africa"|"mix"|"3.03"
"Africa"|"peel"|"3.03"
"Africa"|"immense"|"3.03"
"South_America"|"voluptuous"|"2.99"
"South_America"|"plump"|"2.99"
"South_America"|"intensify"|"2.99"
"CentralAmerica_Mexico"|"add"|"2.97"
"CentralAmerica_Mexico"|"continue"|"2.97"
"Africa"|"dynamic"|"2.89"
"Africa"|"dramatically"|"2.89"
"Africa"|"active"|"2.89"
"Africa"|"symphonically"|"2.89"
"Africa"|"term"|"2.89"
"Africa"|"especially"|"2.89"
"Africa"|"austere"|"2.89"
"Africa"|"various"|"2.89"
"Africa"|"watermelon"|"2.89"
